astClass,versionMajor,versionMinor,versionMicro,base,field,_attribute,deprecated,base_typing_TypeAlias,fieldRename,typeC,typeStub,type_field_type,typeStub_typing_TypeAlias,list2Sequence,defaultValue__dict__,defaultValue,keywordArguments,kwargAnnotation,keywordArgumentsDefaultValue
AST,3,9,13,object,,,,,,,,,,False,,,,,
Add,3,9,13,operator,,,,,,,,,,False,,,,,
And,3,9,13,boolop,,,,,,,,,,False,,,,,
AnnAssign,3,9,13,stmt,target,,,,,expr,Name | Attribute | Subscript,,,False,,,,,
AnnAssign,3,9,13,stmt,annotation,,,,,expr,expr,,,False,,,,,
AnnAssign,3,9,13,stmt,value,,,,,expr | None,expr | None,,,False,None,,,,
AnnAssign,3,9,13,stmt,simple,,,,,int,int,,,False,,,,,
AnnAssign,3,9,13,stmt,,lineno,,,,,int,,,False,,,,,
AnnAssign,3,9,13,stmt,,col_offset,,,,,int,,,False,,,,,
AnnAssign,3,9,13,stmt,,end_lineno,,,,,int | None,,,False,,,,,
AnnAssign,3,9,13,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Assert,3,9,13,stmt,test,,,,,expr,expr,,,False,,,,,
Assert,3,9,13,stmt,msg,,,,,expr | None,expr | None,,,False,None,,,,
Assert,3,9,13,stmt,,lineno,,,,,int,,,False,,,,,
Assert,3,9,13,stmt,,col_offset,,,,,int,,,False,,,,,
Assert,3,9,13,stmt,,end_lineno,,,,,int | None,,,False,,,,,
Assert,3,9,13,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Assign,3,9,13,stmt,targets,,,,,list(expr),list[expr],,,False,,,,,
Assign,3,9,13,stmt,value,,,,,expr,expr,,,False,,,,,
Assign,3,9,13,stmt,type_comment,,,,,string | None,str | None,,,False,None,,,,
Assign,3,9,13,stmt,,lineno,,,,,int,,,False,,,,,
Assign,3,9,13,stmt,,col_offset,,,,,int,,,False,,,,,
Assign,3,9,13,stmt,,end_lineno,,,,,int | None,,,False,,,,,
Assign,3,9,13,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
AsyncFor,3,9,13,stmt,target,,,,,expr,expr,,,False,,,,,
AsyncFor,3,9,13,stmt,iter,,,,,expr,expr,,,False,,,,,
