astClass,versionMajor,versionMinor,versionMicro,base,field,_attribute,deprecated,base_typing_TypeAlias,fieldRename,typeC,typeStub,type_field_type,typeStub_typing_TypeAlias,list2Sequence,defaultValue__dict__,defaultValue,keywordArguments,kwargAnnotation,keywordArgumentsDefaultValue
AST,3,11,9,object,,,,,,,,,,False,,,,,
Add,3,11,9,operator,,,,,,,,,,False,,,,,
And,3,11,9,boolop,,,,,,,,,,False,,,,,
AnnAssign,3,11,9,stmt,target,,,,,expr,Name | Attribute | Subscript,,,False,,,,,
AnnAssign,3,11,9,stmt,annotation,,,,,expr,expr,,,False,,,,,
AnnAssign,3,11,9,stmt,value,,,,,expr | None,expr | None,,,False,None,,,,
AnnAssign,3,11,9,stmt,simple,,,,,int,int,,,False,,,,,
AnnAssign,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
AnnAssign,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
AnnAssign,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
AnnAssign,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Assert,3,11,9,stmt,test,,,,,expr,expr,,,False,,,,,
Assert,3,11,9,stmt,msg,,,,,expr | None,expr | None,,,False,None,,,,
Assert,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
Assert,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
Assert,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
Assert,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Assign,3,11,9,stmt,targets,,,,,list(expr),list[expr],,,False,,,,,
Assign,3,11,9,stmt,value,,,,,expr,expr,,,False,,,,,
Assign,3,11,9,stmt,type_comment,,,,,string | None,str | None,,,False,None,,,,
Assign,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
Assign,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
Assign,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
Assign,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
AsyncFor,3,11,9,stmt,target,,,,,expr,expr,,,False,,,,,
AsyncFor,3,11,9,stmt,iter,,,,,expr,expr,,,False,,,,,
AsyncFor,3,11,9,stmt,body,,,,,list(stmt),list[stmt],,,False,,,,,
AsyncFor,3,11,9,stmt,orelse,,,,orElse,list(stmt),list[stmt],,,False,,,,,
AsyncFor,3,11,9,stmt,type_comment,,,,,string | None,str | None,,,False,None,,,,
AsyncFor,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
AsyncFor,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
AsyncFor,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
AsyncFor,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
AsyncFunctionDef,3,11,9,stmt,name,,,,,identifier,_Identifier,,,False,,,,,
AsyncFunctionDef,3,11,9,stmt,args,,,,,arguments,arguments,,,False,,,,,
AsyncFunctionDef,3,11,9,stmt,body,,,,,list(stmt),list[stmt],,,False,,,,,
AsyncFunctionDef,3,11,9,stmt,decorator_list,,,,,list(expr),list[expr],,,False,,[],,,
AsyncFunctionDef,3,11,9,stmt,returns,,,,,expr | None,expr | None,,,False,None,,,,
AsyncFunctionDef,3,11,9,stmt,type_comment,,,,,string | None,str | None,,,False,None,,,,
AsyncFunctionDef,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
AsyncFunctionDef,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
AsyncFunctionDef,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
AsyncFunctionDef,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
AsyncWith,3,11,9,stmt,items,,,,,list(withitem),list[withitem],,,False,,,,,
AsyncWith,3,11,9,stmt,body,,,,,list(stmt),list[stmt],,,False,,,,,
AsyncWith,3,11,9,stmt,type_comment,,,,,string | None,str | None,,,False,None,,,,
AsyncWith,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
AsyncWith,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
AsyncWith,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
AsyncWith,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Attribute,3,11,9,expr,value,,,,,expr,expr,,,False,,,,,
Attribute,3,11,9,expr,attr,,,,,identifier,_Identifier,,,False,,,,,
Attribute,3,11,9,expr,ctx,,,,context,expr_context,expr_context,,,False,,,,,
Attribute,3,11,9,expr,,lineno,,,,,int,,,False,,,,,
Attribute,3,11,9,expr,,col_offset,,,,,int,,,False,,,,,
Attribute,3,11,9,expr,,end_lineno,,,,,int | None,,,False,,,,,
Attribute,3,11,9,expr,,end_col_offset,,,,,int | None,,,False,,,,,
AugAssign,3,11,9,stmt,target,,,,,expr,Name | Attribute | Subscript,,,False,,,,,
AugAssign,3,11,9,stmt,op,,,,,operator,operator,,,False,,,,,
AugAssign,3,11,9,stmt,value,,,,,expr,expr,,,False,,,,,
AugAssign,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
AugAssign,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
AugAssign,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
AugAssign,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
AugLoad,3,11,9,expr_context,,,deprecated,,,,,,,False,,,,,
AugStore,3,11,9,expr_context,,,deprecated,,,,,,,False,,,,,
Await,3,11,9,expr,value,,,,,expr,expr,,,False,,,,,
Await,3,11,9,expr,,lineno,,,,,int,,,False,,,,,
Await,3,11,9,expr,,col_offset,,,,,int,,,False,,,,,
Await,3,11,9,expr,,end_lineno,,,,,int | None,,,False,,,,,
Await,3,11,9,expr,,end_col_offset,,,,,int | None,,,False,,,,,
BinOp,3,11,9,expr,left,,,,,expr,expr,,,False,,,,,
BinOp,3,11,9,expr,op,,,,,operator,operator,,,False,,,,,
BinOp,3,11,9,expr,right,,,,,expr,expr,,,False,,,,,
BinOp,3,11,9,expr,,lineno,,,,,int,,,False,,,,,
BinOp,3,11,9,expr,,col_offset,,,,,int,,,False,,,,,
BinOp,3,11,9,expr,,end_lineno,,,,,int | None,,,False,,,,,
BinOp,3,11,9,expr,,end_col_offset,,,,,int | None,,,False,,,,,
BitAnd,3,11,9,operator,,,,,,,,,,False,,,,,
BitOr,3,11,9,operator,,,,,,,,,,False,,,,,
BitXor,3,11,9,operator,,,,,,,,,,False,,,,,
BoolOp,3,11,9,expr,op,,,,,boolop,boolop,,,False,,,,,
BoolOp,3,11,9,expr,values,,,,,list(expr),list[expr],,,False,,,,,
BoolOp,3,11,9,expr,,lineno,,,,,int,,,False,,,,,
BoolOp,3,11,9,expr,,col_offset,,,,,int,,,False,,,,,
BoolOp,3,11,9,expr,,end_lineno,,,,,int | None,,,False,,,,,
BoolOp,3,11,9,expr,,end_col_offset,,,,,int | None,,,False,,,,,
Break,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
Break,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
Break,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
Break,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Bytes,3,11,9,Constant,s,,deprecated,,,,bytes,,,False,,,,,
Bytes,3,11,9,Constant,,lineno,deprecated,,,,int,,,False,,,,,
Bytes,3,11,9,Constant,,col_offset,deprecated,,,,int,,,False,,,,,
Bytes,3,11,9,Constant,,end_lineno,deprecated,,,,int | None,,,False,,,,,
Bytes,3,11,9,Constant,,end_col_offset,deprecated,,,,int | None,,,False,,,,,
Call,3,11,9,expr,func,,,,callee,expr,expr,,,False,,,,,
Call,3,11,9,expr,args,,,,,list(expr),list[expr],,,False,,,,,
Call,3,11,9,expr,keywords,,,,,list(keyword),list[keyword],,,False,,,,,
Call,3,11,9,expr,,lineno,,,,,int,,,False,,,,,
Call,3,11,9,expr,,col_offset,,,,,int,,,False,,,,,
Call,3,11,9,expr,,end_lineno,,,,,int | None,,,False,,,,,
Call,3,11,9,expr,,end_col_offset,,,,,int | None,,,False,,,,,
ClassDef,3,11,9,stmt,name,,,,,identifier,_Identifier,,,False,,,,,
ClassDef,3,11,9,stmt,bases,,,,,list(expr),list[expr],,,False,,,,,
ClassDef,3,11,9,stmt,keywords,,,,,list(keyword),list[keyword],,,False,,,,,
ClassDef,3,11,9,stmt,body,,,,,list(stmt),list[stmt],,,False,,,,,
ClassDef,3,11,9,stmt,decorator_list,,,,,list(expr),list[expr],,,False,,[],,,
ClassDef,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
ClassDef,3,11,9,stmt,,col_offset,,,,,int,,,False,,,,,
ClassDef,3,11,9,stmt,,end_lineno,,,,,int | None,,,False,,,,,
ClassDef,3,11,9,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Compare,3,11,9,expr,left,,,,,expr,expr,,,False,,,,,
Compare,3,11,9,expr,ops,,,,,list(cmpop),list[cmpop],,,False,,,,,
Compare,3,11,9,expr,comparators,,,,,list(expr),list[expr],,,False,,,,,
Compare,3,11,9,expr,,lineno,,,,,int,,,False,,,,,
Compare,3,11,9,expr,,col_offset,,,,,int,,,False,,,,,
Compare,3,11,9,expr,,end_lineno,,,,,int | None,,,False,,,,,
Compare,3,11,9,expr,,end_col_offset,,,,,int | None,,,False,,,,,
Constant,3,11,9,expr,value,,,,,constant,Any,,,False,,,,,
Constant,3,11,9,expr,kind,,,,,string | None,str | None,,,False,None,,,,
Constant,3,11,9,expr,,lineno,,,,,int,,,False,,,,,
Constant,3,11,9,expr,,col_offset,,,,,int,,,False,,,,,
Constant,3,11,9,expr,,end_lineno,,,,,int | None,,,False,,,,,
Constant,3,11,9,expr,,end_col_offset,,,,,int | None,,,False,,,,,
Continue,3,11,9,stmt,,lineno,,,,,int,,,False,,,,,
