astClass,versionMajor,versionMinor,versionMicro,base,field,_attribute,deprecated,base_typing_TypeAlias,fieldRename,typeC,typeStub,type_field_type,typeStub_typing_TypeAlias,list2Sequence,defaultValue__dict__,defaultValue,keywordArguments,kwargAnnotation,keywordArgumentsDefaultValue
AST,3,10,11,object,,,,,,,,,,False,,,,,
Add,3,10,11,operator,,,,,,,,,,False,,,,,
And,3,10,11,boolop,,,,,,,,,,False,,,,,
AnnAssign,3,10,11,stmt,target,,,,,expr,Name | Attribute | Subscript,,,False,,,,,
AnnAssign,3,10,11,stmt,annotation,,,,,expr,expr,,,False,,,,,
AnnAssign,3,10,11,stmt,value,,,,,expr | None,expr | None,,,False,None,,,,
AnnAssign,3,10,11,stmt,simple,,,,,int,int,,,False,,,,,
AnnAssign,3,10,11,stmt,,lineno,,,,,int,,,False,,,,,
AnnAssign,3,10,11,stmt,,col_offset,,,,,int,,,False,,,,,
AnnAssign,3,10,11,stmt,,end_lineno,,,,,int | None,,,False,,,,,
AnnAssign,3,10,11,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Assert,3,10,11,stmt,test,,,,,expr,expr,,,False,,,,,
Assert,3,10,11,stmt,msg,,,,,expr | None,expr | None,,,False,None,,,,
Assert,3,10,11,stmt,,lineno,,,,,int,,,False,,,,,
Assert,3,10,11,stmt,,col_offset,,,,,int,,,False,,,,,
Assert,3,10,11,stmt,,end_lineno,,,,,int | None,,,False,,,,,
Assert,3,10,11,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
Assign,3,10,11,stmt,targets,,,,,list(expr),list[expr],,,False,,,,,
Assign,3,10,11,stmt,value,,,,,expr,expr,,,False,,,,,
Assign,3,10,11,stmt,type_comment,,,,,string | None,str | None,,,False,None,,,,
Assign,3,10,11,stmt,,lineno,,,,,int,,,False,,,,,
Assign,3,10,11,stmt,,col_offset,,,,,int,,,False,,,,,
Assign,3,10,11,stmt,,end_lineno,,,,,int | None,,,False,,,,,
Assign,3,10,11,stmt,,end_col_offset,,,,,int | None,,,False,,,,,
AsyncFor,3,10,11,stmt,target,,,,,expr,expr,,,False,,,,,
